image_path,label,text
external\cls_chinese_medicine/train/baishao/baishao_0312.jpg,白芍,性味苦酸微寒；归肝脾经；功效：养血调经、敛阴止汗、柔肝止痛、平抑肝阳。
external\cls_chinese_medicine/train/zhiqiaotiao/zhiqiaotiao_0074.jpg,枳壳(zhiqiaotiao),性味苦辛酸微寒；归脾胃经；功效：理气宽中、行滞消胀。
external\cls_chinese_medicine/train/maiya/maiya_0754.jpg,麦芽,性味甘平；归脾胃肝经；功效：行气消食、健脾开胃、回乳消胀。
external\cls_chinese_medicine/train/xixin/xixin_1603.jpg,细辛,性味辛温有小毒；归心肾肺经；功效：解表散寒、祛风止痛、通窍、温肺化饮。
external\cls_chinese_medicine/train/banxia/banxia_0162.jpg,半夏,性味辛温有毒；归脾胃肺经；功效：燥湿化痰、降逆止呕、消痞散结。
external\cls_chinese_medicine/train/chantui/chantui_1015.jpg,蝉蜕,性味甘寒；归肺肝经；功效：疏散风热、利咽开音、透疹、明目退翳、息风止痉。
external\cls_chinese_medicine/train/gancao/gancao_1068.jpg,甘草,性味甘平；归心肺脾胃经；功效：补脾益气、清热解毒、祛痰止咳、缓急止痛、调和诸药。
external\cls_chinese_medicine/train/caokou/caokou_1539.jpg,草蔻,性味辛温；归脾胃经；功效：燥湿行气、温中止呕。
external\cls_chinese_medicine/train/laifuzi/laifuzi_0906.jpg,莱菔子,性味辛甘平；归脾胃肺经；功效：消食除胀、降气化痰。
external\cls_chinese_medicine/train/luoshiteng/luoshiteng_0125.jpg,络石藤,性味苦微寒；归心肝经；功效：祛风通络、凉血消肿。
external\cls_chinese_medicine/train/lianzixin/lianzixin_1057.jpg,莲子心,性味苦寒；归心肾经；功效：清心安神、交通心肾、涩精止血。
external\cls_chinese_medicine/train/banlangen/banlangen_1591.jpg,板蓝根,性味苦寒；归心胃经；功效：清热解毒、凉血利咽。
external\cls_chinese_medicine/train/qianhu/qianhu_1057.jpg,前胡,性味苦辛微寒；归肺脾经；功效：降气化痰、散风清热。
external\cls_chinese_medicine/train/digupi/digupi_1075.jpg,地骨皮,性味甘寒；归肺肝肾经；功效：凉血除蒸、清肺降火。
external\cls_chinese_medicine/train/paojiang/paojiang_0755.jpg,炮姜,性味苦涩温；归脾胃肾经；功效：温经止血、温中止痛。
external\cls_chinese_medicine/train/tianmapian/tianmapian_1429.jpg,天麻(tianmapian),性味甘平；归肝经；功效：息风止痉、平抑肝阳、祛风通络。
external\cls_chinese_medicine/train/sharen/sharen_0243.jpg,砂仁,性味辛温；归脾胃肾经；功效：化湿开胃、温脾止泻、理气安胎。
external\cls_chinese_medicine/train/banlangen/banlangen_0956.jpg,板蓝根,性味苦寒；归心胃经；功效：清热解毒、凉血利咽。
external\cls_chinese_medicine/train/suanzaoren/suanzaoren_1245.jpg,酸枣仁,性味甘酸平；归肝胆心经；功效：养心补肝、宁心安神、敛汗生津。
external\cls_chinese_medicine/train/renshenqiepian/renshenqiepian_0893.jpg,人参(renshenqiepian),性味甘微苦微温；归脾肺心肾经；功效：大补元气、复脉固脱、补脾益肺、生津养血、安神。
external\cls_chinese_medicine/train/ajiao/ajiao_0329.jpg,阿胶,性味甘平；归肺肝肾经；功效：补血滋阴、润燥、止血。
external\cls_chinese_medicine/train/huangqin/huangqin_1587.jpg,黄芩,性味苦寒；归肺胆脾大肠小肠经；功效：清热燥湿、泻火解毒、止血、安胎。
external\cls_chinese_medicine/train/chenxiang/chengxiang_0615.jpg,沉香,性味辛苦微温；归脾胃肾经；功效：行气止痛、温中止呕、纳气平喘。
external\cls_chinese_medicine/train/zhuru/zhuru_0898.jpg,竹茹,性味甘微寒；归肺胃心胆经；功效：清热化痰、除烦止呕。
external\cls_chinese_medicine/train/zhimu/zhimu_1013.jpg,知母,性味苦甘寒；归肺胃肾经；功效：清热泻火、滋阴润燥。
external\cls_chinese_medicine/train/heshouwu/heshouwu_0488.jpg,何首乌,性味苦甘涩微温；归肝肾经；功效：制用补肝肾益精血、生用解毒消痈润肠通便。
external\cls_chinese_medicine/train/mohanlian/mohanliang_0918.jpg,墨旱莲,性味甘酸寒；归肝肾经；功效：滋补肝肾、凉血止血。
external\cls_chinese_medicine/train/laifuzi/laifuzi_0685.jpg,莱菔子,性味辛甘平；归脾胃肺经；功效：消食除胀、降气化痰。
external\cls_chinese_medicine/train/yujin/yujin_0333.jpg,郁金,性味辛苦寒；归肝心肺经；功效：活血止痛、行气解郁、清心凉血、利胆退黄。
external\cls_chinese_medicine/train/yujin/yujin_0005.jpg,郁金,性味辛苦寒；归肝心肺经；功效：活血止痛、行气解郁、清心凉血、利胆退黄。
external\cls_chinese_medicine/train/jinqiancao/jinqiancao_0106.jpg,金钱草,性味甘咸微寒；归肝胆肾膀胱经；功效：利湿退黄、利尿通淋、解毒消肿。
external\cls_chinese_medicine/train/yuzhupian/yuzhupian_1250.jpg,玉竹(yuzhupian),性味甘微寒；归肺胃经；功效：养阴润燥、生津止渴。
external\cls_chinese_medicine/train/huangqin/huangqin_0324.jpg,黄芩,性味苦寒；归肺胆脾大肠小肠经；功效：清热燥湿、泻火解毒、止血、安胎。
external\cls_chinese_medicine/train/shechuangzi/shechuangzi_0227.jpg,蛇床子,性味辛苦温；归肾经；功效：燥湿祛风、杀虫止痒、温肾壮阳。
external\cls_chinese_medicine/train/guanzhong/guanzhong_0385.jpg,贯众,性味苦微寒有小毒；归肝胃经；功效：清热解毒、驱虫、止血。
external\cls_chinese_medicine/train/wumei/wumei_1542.jpg,乌梅,性味酸涩平；归肝脾肺大肠经；功效：敛肺涩肠、生津安蛔。
external\cls_chinese_medicine/train/huangjing/huangjing_0483.jpg,黄精,性味甘平；归脾胃肺肾经；功效：补气养阴、健脾、润肺、益肾。
external\cls_chinese_medicine/train/daxueteng/daxueteng_0548.jpg,大血藤,性味苦平；归大肠肝经；功效：清热解毒、活血止痛、祛风通络。
external\cls_chinese_medicine/train/tongcao/tongcao_1346.jpg,通草,性味甘淡微寒；归肺胃经；功效：清热利尿、通气下乳。
external\cls_chinese_medicine/train/foshou/foshou_0755.jpg,佛手,性味辛苦酸温；归肝脾胃肺经；功效：疏肝理气、和胃止痛、燥湿化痰。
external\cls_chinese_medicine/train/digupi/digupi_0760.jpg,地骨皮,性味甘寒；归肺肝肾经；功效：凉血除蒸、清肺降火。
external\cls_chinese_medicine/train/wujiapi/wujiapi_0800.jpg,五加皮,性味辛苦温；归肝肾经；功效：祛风湿、补肝肾、强筋骨。
external\cls_chinese_medicine/train/banlangen/banlangen_0220.jpg,板蓝根,性味苦寒；归心胃经；功效：清热解毒、凉血利咽。
external\cls_chinese_medicine/train/jinyinhua/(976).jpg,金银花,性味甘寒；归肺心胃经；功效：清热解毒、疏散风热。
external\cls_chinese_medicine/train/tiankuizi/yitiankuizi_0737.jpg,天葵子,性味甘苦寒；归肝胃经；功效：清热解毒、消肿散结。
external\cls_chinese_medicine/train/peilan/peilan_1359.jpg,佩兰,性味辛平；归脾胃肺经；功效：芳香化湿、醒脾开胃、发表解暑。
external\cls_chinese_medicine/train/lizhihe/lizhihe_0907.jpg,荔枝核,性味甘微苦温；归肝胃经；功效：行气散结、祛寒止痛。
external\cls_chinese_medicine/train/jingjie/jinjie_1504.jpg,荆芥,性味辛微温；归肺肝经；功效：解表散风、透疹消疮、炒炭止血。
external\cls_chinese_medicine/train/wuweizi/wuweizi_1007.jpg,五味子,性味酸甘温；归肺心肾经；功效：收敛固涩、益气生津、补肾宁心。
external\cls_chinese_medicine/train/zhebeimu/zhebeimu_0308.jpg,浙贝母,性味苦寒；归肺心经；功效：清热化痰、散结消痈。
external\cls_chinese_medicine/train/pugongying/pugongying_0832.jpg,蒲公英,性味苦甘寒；归肝胃经；功效：清热解毒、消肿散结、利尿通淋。
external\cls_chinese_medicine/train/chishizhi/chishizhi_1592.jpg,赤石脂,性味甘酸涩温；归大肠胃经；功效：涩肠止泻、收敛止血、敛疮生肌。
external\cls_chinese_medicine/train/huangbo/huangbai_1035.jpg,黄柏,性味苦寒；归肾膀胱经；功效：清热燥湿、泻火除蒸、解毒疗疮。
external\cls_chinese_medicine/train/banlangen/banlangen_0167.jpg,板蓝根,性味苦寒；归心胃经；功效：清热解毒、凉血利咽。
