name,aliases,indications,cautions
人参,吉林参、野山参、力参,气虚欲脱、肢冷脉微、脾肺气虚、气短乏力、食少便溏、气血两虚,实证热证忌用；反藜芦；不宜与萝卜、浓茶同服；儿童及孕妇慎用
党参,潞党参、西党参、台党参,脾肺气虚、食少便溏、四肢乏力、气津两伤、面色萎黄,实证热证不宜；反藜芦；气滞、火盛者慎用
黄芪,北芪、绵黄芪、黄耆,气虚乏力、中气下陷、久泻脱肛、自汗、水肿、疮疡久溃不敛,表实邪盛、气滞湿阻、食积内停、阴虚阳亢者忌用；高血压患者慎用
白术,于术、冬术、术,脾气虚弱、食少便溏、腹胀泄泻、痰饮水肿、自汗、胎动不安,阴虚燥渴、气滞胀闷者忌用；孕妇应在医师指导下使用
山药,怀山药、淮山药、薯蓣,脾虚食少、久泻不止、肺虚喘咳、肾虚遗精、带下、尿频,湿盛中满、有实邪者忌用；便秘者慎用
甘草,国老、粉甘草、甜草,心气不足、脉结代、脾胃虚弱、倦怠乏力、咳嗽、脘腹挛急疼痛,湿盛中满、水肿者忌用；反甘遂、大戟、海藻、芫花；久服大剂量可引起水钠潴留
白扁豆,扁豆、蛾眉豆,脾虚湿盛、食少便溏、暑湿吐泻、白带过多,气滞腹胀者不宜；需炒用或煮熟，生品有毒
当归,秦归、西归、全当归,血虚萎黄、眩晕心悸、月经不调、经闭痛经、虚寒腹痛、肠燥便秘、跌打损伤,湿盛中满、大便溏泄者忌用；孕妇慎用
熟地黄,熟地、九蒸地黄、九地,血虚萎黄、心悸怔忡、月经不调、肝肾阴虚、腰膝酸软、盗汗遗精,脾胃虚弱、气滞痰多、腹满便溏者忌用；不宜与萝卜同服
白芍,杭白芍、白芍药、杭芍,血虚萎黄、月经不调、自汗盗汗、胁肋脘腹疼痛、四肢挛急,阳虚阴寒者不宜；反藜芦；脾虚泄泻者慎用
阿胶,东阿胶、驴皮胶,血虚萎黄、眩晕心悸、肌痿无力、心烦不眠、虚劳咳血、便血崩漏,脾胃虚弱、消化不良者慎用；感冒期间不宜服用；孕妇慎用
何首乌,首乌、制首乌,血虚萎黄、眩晕耳鸣、须发早白、腰膝酸软、肢体麻木、崩漏带下、疮痈瘙痒,生何首乌有肝毒性风险，不宜长期超量服用；大便溏泄者慎用；服药期间忌食猪羊血
枸杞,枸杞子、杞子、甘枸杞,肝肾阴虚、腰膝酸软、头晕目眩、视物昏花、遗精消渴,外邪实热、脾虚有湿及泄泻者忌用
麦冬,麦门冬、寸冬、杭麦冬,肺燥干咳、阴虚劳嗽、喉痹咽痛、津伤口渴、内热消渴、心烦失眠,脾虚便溏、痰湿内盛者忌用；感冒风寒或痰饮湿浊者不宜
天冬,天门冬、明天冬,肺燥干咳、顿咳痰黏、咽干口渴、肠燥便秘,虚寒泄泻、风寒咳嗽者忌用；脾胃虚寒者慎用
石斛,金钗石斛、霍山石斛、铁皮石斛,热病津伤、口干烦渴、胃阴不足、食少干呕、病后虚热、目暗不明,温热病早期阴未伤者、脾胃虚寒者不宜；感冒期间慎用
玉竹,葳蕤、肥玉竹,肺胃阴伤、燥热咳嗽、咽干口渴、内热消渴,痰湿内盛、脾虚便溏者慎用；阳衰阴盛者忌用
黄精,鸡头参、黄精根,脾虚乏力、食少口干、肺燥咳嗽、劳嗽咳血、精血不足、腰膝酸软,脾虚有湿、咳嗽痰多、中寒便溏者不宜
百合,野百合、药百合,阴虚燥咳、劳嗽咳血、虚烦惊悸、失眠多梦、精神恍惚,风寒咳嗽、脾虚便溏者忌用
女贞子,冬青子、女贞实,肝肾阴虚、头晕目眩、耳鸣、腰膝酸软、须发早白、目暗不明,脾胃虚寒泄泻及阳虚者忌用
墨旱莲,旱莲草、墨菜,肝肾阴虚、头晕目眩、须发早白、腰膝酸软、血热出血、外伤出血,脾胃虚寒者忌用；便溏者慎用
北沙参,北条参、辽沙参,肺燥干咳、劳嗽痰血、胃阴不足、咽干口渴,风寒咳嗽、肺胃虚寒者忌用；反藜芦
杜仲,川杜仲、绵杜仲,肝肾不足、腰膝酸痛、筋骨无力、头晕目眩、妊娠漏血、胎动不安,阴虚火旺者慎用；低血压者不宜大量服用
续断,川续断、接骨草,腰膝酸软、风湿痹痛、跌打损伤、筋伤骨折、胎漏下血、崩漏,阴虚火旺、湿热内蕴者慎用
巴戟天,巴戟、鸡肠风,阳痿遗精、宫冷不孕、月经不调、少腹冷痛、风湿痹痛、筋骨痿软,阴虚火旺、湿热下注者忌用
肉苁蓉,大芸、淡大芸,肾阳不足、精血亏虚、阳痿不孕、腰膝酸软、筋骨无力、肠燥便秘,阴虚火旺、大便溏泄、胃肠实热便结者忌用
菟丝子,吐丝子、无娘藤子,肾虚腰痛、阳痿遗精、尿频带下、目暗不明、脾虚泄泻、胎动不安,阴虚火旺、大便燥结者慎用；孕妇慎用
附子,附片、黑顺片、白附片,亡阳虚脱、肢冷脉微、阳痿宫冷、心腹冷痛、虚寒吐泻、寒湿痹痛,孕妇禁用；阴虚阳亢、真热假寒者忌用；有毒药材须炮制减毒并遵医嘱
肉桂,官桂、桂心,肾阳不足、命门火衰、阳痿宫冷、腰膝冷痛、虚寒吐泻、寒疝腹痛、经闭痛经,阴虚火旺、血热出血、孕妇及月经过多者忌用；畏赤石脂
干姜,白姜、均姜,脘腹冷痛、呕吐泄泻、肢冷脉微、寒饮喘咳、风寒湿痹,阴虚内热、血热妄行者忌用；孕妇慎用
吴茱萸,吴萸、茶辣,寒疝腹痛、厥阴头痛、脘腹冷痛、呕吐吞酸、虚寒泄泻、痛经,阴虚火旺者忌用；孕妇慎用；有小毒，不宜过量
小茴香,谷茴香、小茴,寒疝腹痛、睾丸偏坠、痛经、少腹冷痛、脘腹胀痛、食少吐泻,阴虚火旺、胃热呕逆者慎用
高良姜,良姜、蛮姜,胃寒脘腹冷痛、呕吐泄泻、消化不良,阴虚有热者忌用
陈皮,橘皮、广陈皮、新会皮,脘腹胀满、食少吐泻、咳嗽痰多,气虚及阴虚燥咳者不宜；吐血症慎用
